hospital_name,facility_type,district,latitude,longitude,ownership_type,ownership_encoded,tier,tier_encoded,specialties,opd_fee_npr,emergency_available,bed_capacity,rating,ambulance_service,parking_available,phone
Adharbhut Health Post,clinic,Biratnagar,26.5870484730848,87.2839856591289,Private,2,Budget,0,Infectious Disease,385,True,0,3.2,False,False,
Public lumbini United hospital Pvt.Ltd,hospital,Lamjung,27.9586780281864,83.3029835639667,Private,2,Premium,2,"Dermatology, Infectious Disease, General Medicine, Neurology, General Surgery, Cardiology",1075,True,242,4.1,True,True,
खयरभट्टि शहरी स्वास्थ केन्द्र,hospital,Gorkha,27.7464210824667,82.9297956698772,Private,2,Premium,2,"Endocrinology, Cardiology, Infectious Disease, Pulmonology, General Surgery, Dermatology",1574,True,500,4.4,False,True,
Sub Healthpost,hospital,Pokhara,28.0475417921655,83.7496381688198,Private,2,Standard,1,"Dermatology, Endocrinology, Orthopedics, Infectious Disease",1004,True,197,3.2,True,True,
केरवानी स्वास्थ्य चौकि,clinic,Palpa,27.5928229582692,83.5685424568903,Private,2,Standard,1,"Dermatology, General Medicine",1426,False,0,3.1,False,True,
Asian Medi Mart Pvt Ltd,clinic,Kathmandu,27.7437845548235,85.3299938767482,Private,2,Budget,0,"Infectious Disease, Dermatology",560,True,0,2.8,False,True,
Nagarik Aarogya Sewa Kendra,clinic,Nepalgunj,26.7319206169836,86.2562933353361,Private,2,Standard,1,"General Medicine, Infectious Disease",1223,False,0,3.3,False,False,
ओरिसन मेडिकल हल,hospital,Kathmandu,27.7071766765322,85.3789968296335,Private,2,Standard,1,"General Surgery, Pulmonology, Dermatology, Cardiology",1120,True,129,3.0,True,False,
Sahara International Fertilty Centre,clinic,Pokhara,28.2251232235515,83.9800510711846,Private,2,Standard,1,Dermatology,714,False,0,3.3,False,False,
Shanti Hospital,hospital,Biratnagar,27.681139132514,84.4316312176186,Private,2,Premium,2,"Neurology, Infectious Disease, Urology, Pulmonology, Endocrinology, Gastroenterology",1014,True,387,4.2,True,True,
पोखरीकाँडा स्वास्थ्यचौकी,hospital,Dang,,,Private,2,Premium,2,"Endocrinology, Urology, Orthopedics, Dermatology, Neurology, Cardiology",1401,False,459,4.5,True,True,
Siddhasthali Rural Community Hospital,hospital,Pokhara,27.3875154484707,85.0664123586023,Private,2,Premium,2,"Pulmonology, Urology, General Surgery, Neurology, Gastroenterology, Endocrinology",2681,True,269,3.7,True,True,
Mithila Hospital,hospital,Kathmandu,26.7342991496471,85.9247615721812,Private,2,Premium,2,"Neurology, Endocrinology, Orthopedics, General Medicine, Infectious Disease, Cardiology",2307,True,117,4.2,True,True,
स्वास्थ्य सेवा केन्द्र गाईनिकाडा,clinic,Bhaktapur,28.6431649446364,81.3231029325302,Private,2,Budget,0,Dermatology,402,True,0,3.4,False,False,
मैत्री सामुदायिक अस्पताल,hospital,Kathmandu,27.7268922539008,85.345143077087,Private,2,Premium,2,"Neurology, General Surgery, Cardiology, Infectious Disease, Endocrinology, Urology",1227,True,449,4.7,True,True,
Suwanauli Health Care Center,clinic,Birgunj,28.7776110906347,82.015938140722,Private,2,Standard,1,"Dermatology, General Medicine",1390,False,0,3.4,False,True,
Sapana Ayurbed Hospital,clinic,Gorkha,,,Private,2,Budget,0,General Medicine,342,False,0,3.0,True,False,
महुवा स्वास्थ्य चा‌ैकी,clinic,Mustang,27.5950717390716,82.9834975176815,Private,2,Standard,1,"Infectious Disease, Gastroenterology, Dermatology",1082,True,0,3.4,False,False,
Purchaudi Hat Health Post,clinic,Biratnagar,29.6073055947485,80.693623848218,Private,2,Standard,1,"Dermatology, General Medicine, Infectious Disease",1012,False,0,4.1,False,False,
Pokhariya Polyclinic Hospital,clinic,Morang,27.0755295291451,84.7654416849703,Private,2,Budget,0,"Infectious Disease, General Medicine",452,False,0,2.7,False,False,
CWC Polyclinic,clinic,Dharan,27.6303713699155,85.5236029319256,Private,2,Standard,1,"Dermatology, Infectious Disease",674,False,0,3.9,False,True,
Hile Polyclinic,clinic,Dolpa,27.0282428547536,87.3133664928659,Private,2,Standard,1,"Infectious Disease, General Medicine",1065,False,0,3.4,True,True,
Siktahan Health Post,clinic,Hetauda,27.553257190167,83.550877344495,Private,2,Budget,0,"Dermatology, Gastroenterology",299,True,0,2.8,False,True,
Basic Health Post,clinic,Parbat,26.9918262514928,85.555755577223,Private,2,Budget,0,Infectious Disease,537,False,0,3.0,False,False,
राप्ती क्षेत्रीय आयुर्वेदिक अस्पताल,hospital,Lalitpur,28.1325190352812,82.2870477813842,Private,2,Standard,1,"Urology, General Medicine, Endocrinology, Dermatology",1256,True,132,3.3,True,False,
Laxmipur Health Post,clinic,Mustang,27.004074056048,85.5664214651923,Private,2,Budget,0,Infectious Disease,489,False,0,3.2,False,False,
Parbatipur Health Center,clinic,Bhaktapur,27.5982998614408,84.3256258749165,Private,2,Standard,1,General Medicine,1188,True,0,3.5,False,False,
Prime Heath Care Center,clinic,Mustang,27.0837247673349,84.739311437103,Private,2,Standard,1,"Infectious Disease, General Medicine, Gastroenterology",1198,False,0,3.1,False,False,
Basic Health Service Center,clinic,Biratnagar,27.6921364409347,84.1653383214341,Private,2,Standard,1,Dermatology,1117,False,0,3.4,False,False,
mata parbati medical hall,clinic,Lalitpur,28.0940596783979,81.5436032285639,Private,2,Standard,1,Dermatology,1078,False,0,3.8,False,False,9848021826
Kalaiya City Clinic,clinic,Butwal,27.0300540163914,85.0024032844655,Private,2,Standard,1,"Gastroenterology, Dermatology, Infectious Disease",679,False,0,3.8,True,True,
Rajhar Health Post,clinic,Dhanusha,27.6856086985622,84.2450764559712,Private,2,Standard,1,"Infectious Disease, Gastroenterology, Dermatology",566,False,0,3.4,True,True,
Swasthya Chauki Kamalpur,clinic,Birgunj,26.6884409191945,86.9524651277242,Private,2,Standard,1,General Medicine,1102,False,0,3.2,True,False,
KarkiGaun Health Care Center,clinic,Chitwan,28.6882970508171,82.0620949345657,Private,2,Standard,1,"Gastroenterology, Infectious Disease",631,False,0,4.0,False,True,
Rijjupokhari Health Post,hospital,Hetauda,28.8407649591907,81.6230189951049,Private,2,Premium,2,"General Medicine, Dermatology, Endocrinology, Urology, General Surgery, Infectious Disease",2527,True,486,3.8,True,True,
भगवति स्वास्थ्य चौकि,hospital,Dharan,28.0408362696267,83.2218551231503,Private,2,Premium,2,"Dermatology, General Surgery, Urology, Gastroenterology, Pulmonology, Cardiology",1133,True,136,3.6,True,True,
Kafalseri health post,hospital,Itahari,29.6450001867862,80.8100586254009,Private,2,Premium,2,"General Surgery, Endocrinology, Orthopedics, Urology, Pulmonology, Gastroenterology",1260,True,364,4.8,True,True,
"Rajpur Tulsi Ayurveda, Rajpur Tulsi Tole",clinic,Pokhara,26.8529524489621,85.28715816058,Private,2,Standard,1,"General Medicine, Dermatology, Infectious Disease",765,False,0,3.8,False,False,
Samudayek Swasthiye Ikai,hospital,Makwanpur,28.2920258983019,83.7708229261767,Private,2,Standard,1,"Cardiology, Infectious Disease, Dermatology, General Surgery",1455,False,112,3.7,True,True,
Shifa Pathalogy,clinic,Kathmandu,28.0585705327232,81.6179773641651,Private,2,Budget,0,General Medicine,491,False,0,3.3,False,False,
Family Healt Clinic,clinic,Parbat,28.0551534822564,84.0725625556059,Private,2,Standard,1,"General Medicine, Gastroenterology, Dermatology",1376,True,0,3.3,False,False,
सामुदायिक स्वास्थ्य इकाई बुरानी,clinic,Hetauda,28.758896396324,81.4526643568161,Private,2,Budget,0,"Gastroenterology, General Medicine, Dermatology",316,False,0,3.1,False,True,
Mamata Polyclinic,clinic,Pokhara,28.1634076895801,84.0685260824946,Private,2,Budget,0,"Gastroenterology, General Medicine",467,False,0,3.3,False,False,"061 561042,9856031011"
Jaleshwornath Polyclinic and Diagnostic Centre,clinic,Dhanusha,26.6526849775418,85.7977817740727,Private,2,Budget,0,"Infectious Disease, Dermatology",573,False,0,2.8,False,False,
Nilgiri Hospital,hospital,Sarlahi,28.264436193454,83.5972686639895,Private,2,Premium,2,"Neurology, General Medicine, Endocrinology, Gastroenterology, General Surgery, Cardiology",2602,True,443,4.3,True,True,
Gulmi District Hospital,hospital,Rupandehi,28.0682615215343,83.2482723673822,Private,2,Premium,2,"Orthopedics, Gastroenterology, Cardiology, Infectious Disease, Urology, Pulmonology",1561,True,362,4.3,True,False,
सिलगां स्वास्थ्य चाैकी,clinic,Dharan,29.4411373818187,80.5597371942565,Private,2,Budget,0,"Infectious Disease, Dermatology, General Medicine",298,False,0,3.0,False,False,
Sigana Health Post,clinic,Kathmandu,28.2503145306253,83.5568132406844,Private,2,Budget,0,Gastroenterology,547,False,0,3.3,True,False,
नेशनल प्याथ ल्याब,clinic,Rupandehi,28.056919381617,81.6169392654571,Private,2,Budget,0,"Dermatology, Gastroenterology, Infectious Disease",211,False,0,3.0,False,False,
Birgunj Health Care Hospital,hospital,Birgunj,27.0444373622371,84.8989562662499,Private,2,Standard,1,"Urology, Pulmonology, Gastroenterology, General Surgery",1493,True,54,3.2,True,False,
ShivaOm Aayurveda,clinic,Birgunj,27.5179070164468,83.4529939821489,Private,2,Budget,0,"Infectious Disease, Gastroenterology",554,False,0,2.5,False,False,
RamLal Golchha Eye Hospital,hospital,Biratnagar,26.4637235200362,87.2845734819984,Private,2,Premium,2,"Gastroenterology, General Medicine, Neurology, Orthopedics, Infectious Disease, General Surgery",2388,True,491,4.0,True,True,
M.B Media Dental College And Teaching Hospital Pvt. Ltd,hospital,Gorkha,26.9953250255155,84.8625335441997,Private,2,Standard,1,"Infectious Disease, Pulmonology, General Surgery, Neurology",1045,False,190,3.5,True,False,
Sotang Hospital,hospital,Dhanusha,27.489942221432,86.779074647925,Private,2,Standard,1,"General Medicine, Dermatology, Gastroenterology, Pulmonology",1129,True,135,3.4,True,False,
Aadharbhut Swasthaya Kendra,clinic,Biratnagar,26.5717320537778,87.2848575446969,Private,2,Budget,0,"Gastroenterology, Infectious Disease",329,False,0,3.4,True,True,
Super X ray Clinic,clinic,Kathmandu,27.7079222468195,85.3315339676374,Private,2,Budget,0,"Infectious Disease, Dermatology",548,False,0,3.0,False,False,
Sawasth Chaiki Inarwa Sira,clinic,Biratnagar,27.0877360947367,84.9949187478458,Private,2,Standard,1,"General Medicine, Gastroenterology",1073,True,0,3.5,False,True,
Siddhi binayak Polyclinic,clinic,Birgunj,27.5143265188682,83.3921783293022,Private,2,Standard,1,"Dermatology, Gastroenterology",1404,False,0,3.5,False,True,
Galaxy Pharmacy,clinic,Butwal,27.5145326298673,83.4533371372648,Private,2,Standard,1,Dermatology,964,False,0,3.9,False,True,
मध्यपश्चिम पोलिकीलनीक प्रा. ली,clinic,Dharan,28.0540000485607,81.6171474719319,Private,2,Budget,0,"Gastroenterology, Dermatology, General Medicine",201,False,0,3.4,True,False,
किष्णा अाधारभुत स्वास्थ्य सेवा केन्द्र,clinic,Biratnagar,27.5573280290812,83.2671436356442,Private,2,Budget,0,"Gastroenterology, Dermatology",418,False,0,3.1,False,False,
Panchakanya Health Service Center,clinic,Lalitpur,26.7915491408839,87.3156290199895,Private,2,Budget,0,"Infectious Disease, General Medicine",528,False,0,3.4,False,False,
"Basic Health Service Center, Siraha",clinic,Butwal,26.6485350972806,86.2068199900448,Private,2,Standard,1,"Dermatology, Gastroenterology",1189,False,0,3.9,False,True,
nagar swaath kendra,clinic,Parbat,27.4988822755378,83.4263534440164,Private,2,Budget,0,Gastroenterology,532,False,0,2.8,False,False,
Om Hospital and Research Center,hospital,Sunsari,,,Private,2,Standard,1,"Cardiology, Orthopedics, General Surgery, General Medicine",553,False,50,3.4,True,True,
Pristine Polyclinic;Saransh Pharmacy,clinic,Kathmandu,27.7463383530824,85.3247014592654,Private,2,Budget,0,"Dermatology, Infectious Disease, Gastroenterology",365,True,0,3.5,False,False,
Dahakhani Health Clinic,clinic,Tanahu,27.6808986557119,84.4396385335393,Private,2,Budget,0,"Gastroenterology, Infectious Disease",421,False,0,3.4,True,False,
Jalkeni Health Post,clinic,Kaski,27.7195234713639,85.7303731676469,Private,2,Budget,0,"General Medicine, Infectious Disease",408,False,0,2.8,False,True,
Aaliya Polyclinic,clinic,Biratnagar,27.1346435718285,84.9585647574016,Private,2,Budget,0,"Infectious Disease, Gastroenterology",340,False,0,2.8,False,False,
दुर्गाभवानी स्वस्थ्यचाैकी,clinic,Hetauda,29.5594699895182,80.4727332907725,Private,2,Budget,0,"General Medicine, Infectious Disease, Dermatology",262,True,0,3.3,True,False,
Rajbiraj Eye General Hospital,hospital,Kathmandu,26.5345000589762,86.7523269890699,Private,2,Standard,1,"Infectious Disease, Gastroenterology, Endocrinology, Pulmonology",1196,True,144,3.6,True,True,
भारोसा अस्पताल,hospital,Kathmandu,27.6943237823869,85.3370556301719,Private,2,Standard,1,"Urology, Dermatology, General Surgery, Endocrinology",1030,False,139,3.1,True,False,
Basic health centre,clinic,Biratnagar,28.7977683943006,80.5247497893058,Private,2,Budget,0,"General Medicine, Dermatology, Gastroenterology",438,False,0,2.5,True,False,
Tengraha Health Care Center,clinic,Butwal,26.9811631295516,85.1849224950111,Private,2,Budget,0,"General Medicine, Dermatology",453,False,0,2.6,True,True,
रिदम न्यूरोसाइकियाट्री अस्पताल र अनुसन्धान केन्द्र,hospital,Kathmandu,27.6694471319582,85.3098020396413,Private,2,Premium,2,"General Surgery, Urology, Orthopedics, Dermatology, Pulmonology, Cardiology",1740,True,210,4.1,True,True,
Sarpa Dansk Upachar Kendra,clinic,Itahari,27.0046824983993,85.9050368585382,Private,2,Budget,0,"Infectious Disease, Gastroenterology, General Medicine",464,False,0,3.0,False,True,
Manikapur health post,clinic,Rupandehi,28.1069586730106,81.6622960904618,Private,2,Standard,1,Gastroenterology,1277,False,0,3.4,False,False,
Bhadsain Health Post,hospital,Nepalgunj,29.5351851852726,80.9188234582659,Private,2,Premium,2,"Gastroenterology, General Medicine, Endocrinology, General Surgery, Orthopedics, Urology",1089,True,175,4.9,True,True,
Lakkad Health Service Center,clinic,Butwal,26.6880810840913,86.1835745417927,Private,2,Standard,1,Infectious Disease,1405,False,0,3.6,False,True,
Animal Hospital,hospital,Pokhara,,,Private,2,Premium,2,"Cardiology, Urology, Pulmonology, Dermatology, General Medicine, Gastroenterology",2477,True,210,3.8,True,True,
Kisor Kisori Maitri Youn Tatha Prajanan Swasthya Seba Clinic,clinic,Pokhara,28.1338732993769,84.0297272585328,Private,2,Standard,1,"General Medicine, Gastroenterology",729,False,0,3.6,False,True,
चौधरी सरकार बक्स पोलिक्लिनिक एण्ड डाइग्निष्टिक प्रालि,clinic,Nepalgunj,28.0507948926062,81.6184041706747,Private,2,Budget,0,"Dermatology, General Medicine",224,False,0,3.0,False,True,
Jhumla Community Health Care Unit,clinic,Tanahu,28.5754676654652,82.6874126554093,Private,2,Standard,1,Infectious Disease,784,False,0,3.5,True,False,
Malaniya Health Care Center,clinic,Dang,26.8305164410995,86.2134772328213,Private,2,Budget,0,Dermatology,415,True,0,2.6,False,False,
aadharbhut health post piparpati,hospital,Lalitpur,27.4315776885303,83.8171462684364,Private,2,Premium,2,"Dermatology, Infectious Disease, Pulmonology, Endocrinology, Orthopedics, General Surgery",2090,True,208,4.3,False,True,
नेत्र उपचार केन्द्र पाटन आँखा अस्पताल,hospital,Kathmandu,29.4635377665928,80.5503930485987,Private,2,Premium,2,"General Medicine, Dermatology, Pulmonology, Orthopedics, Urology, General Surgery",1919,True,306,3.8,True,True,
Singhasani Health Post,clinic,Hetauda,27.0050410762171,85.174957250328,Private,2,Standard,1,"Gastroenterology, General Medicine, Dermatology",823,True,0,3.2,False,True,
Maa Jankaki Hospital,hospital,Kaski,28.047598453831,81.6177762823079,Private,2,Premium,2,"Orthopedics, Pulmonology, Endocrinology, Dermatology, General Surgery, General Medicine",1010,True,482,3.7,True,True,
Pipara Hospital,hospital,Birgunj,27.6894726721062,83.2021202674044,Private,2,Premium,2,"Infectious Disease, Gastroenterology, General Medicine, General Surgery, Pulmonology, Orthopedics",1802,True,375,3.8,True,True,
Asha Ayurved Clinic,clinic,Palpa,27.0329638778971,85.0062720356943,Private,2,Budget,0,"General Medicine, Infectious Disease, Dermatology",299,False,0,2.8,False,False,
Suraksha Aspatal Pvt.Ltd,hospital,Biratnagar,26.461388154174,87.2845784273213,Private,2,Premium,2,"Neurology, Gastroenterology, Dermatology, General Medicine, General Surgery, Urology",1685,True,213,4.2,True,True,
jogbuda hospital,hospital,Banke,29.1281157945371,80.355156060187,Private,2,Premium,2,"Neurology, Infectious Disease, General Medicine, Pulmonology, Cardiology, Dermatology",1167,True,145,4.4,True,False,
Chhahari Nepal,clinic,Kathmandu,27.6750404597649,85.317434349214,Private,2,Budget,0,"Dermatology, Infectious Disease",492,False,0,3.4,False,True,
"Matihani Prasuti Kendra, Matihani",clinic,Rupandehi,26.6145343261524,85.8417891964856,Private,2,Budget,0,"Infectious Disease, Gastroenterology",212,True,0,2.9,False,False,
Basic Health Care Center Ward 7,clinic,Pokhara,26.7250138449496,85.9185844448185,Private,2,Budget,0,Gastroenterology,577,False,0,3.2,False,False,
Ayurvedic Teaching Hospital (OPD),hospital,Bhaktapur,,,Private,2,Premium,2,"Infectious Disease, General Surgery, Orthopedics, Dermatology, Gastroenterology, Neurology",1462,True,212,3.6,True,False,
Medi Max Pharmacy,clinic,Kathmandu,27.5121552706701,83.454050688682,Private,2,Standard,1,"General Medicine, Infectious Disease, Gastroenterology",1206,False,0,3.6,False,True,
Birat Aushadi,clinic,Pokhara,,,Private,2,Budget,0,"Dermatology, Infectious Disease",416,False,0,3.1,False,False,
भटकटिया स्वास्थ्य चौकी,clinic,Nepalgunj,29.2025993977936,81.409456567966,Private,2,Standard,1,"General Medicine, Dermatology, Infectious Disease",1480,False,0,4.2,True,True,
City Top Polyclinic and Medical Center,clinic,Gorkha,,,Private,2,Budget,0,"Infectious Disease, Dermatology",238,False,0,2.5,True,True,
Shah Hospital Pvt Ltd,hospital,Kathmandu,27.0174369890014,84.8752822512886,Private,2,Standard,1,"Dermatology, Urology, Orthopedics, Endocrinology",1439,True,127,3.8,True,True,
Skin And Laser Centre,clinic,Pokhara,28.2179494879014,83.9866571843518,Private,2,Standard,1,Gastroenterology,755,False,0,3.7,True,False,
"Community Health Post, Hajminiya Pathai",clinic,Butwal,26.7851504798202,85.3082274991302,Private,2,Budget,0,"Infectious Disease, General Medicine, Dermatology",300,True,0,3.4,False,True,
Naule Katuwa Health Post,hospital,Kaski,28.8293652355986,81.5800676924919,Private,2,Premium,2,"Infectious Disease, Pulmonology, Neurology, Gastroenterology, Cardiology, Orthopedics",1336,True,319,4.9,True,True,
Sahara Hospital & Physiotherapy Rehabilitation Center,hospital,Bhaktapur,,,Private,2,Premium,2,"General Medicine, Infectious Disease, Urology, General Surgery, Pulmonology, Dermatology",1674,True,298,4.2,True,True,
Visionhome,doctors,Kathmandu,27.6711675175846,85.3161477270769,Private,2,Budget,0,General Medicine,359,False,0,2.6,True,False,
Khockhorka Basic Health Center,clinic,Makwanpur,27.5204712920847,86.7701079393671,Private,2,Standard,1,Dermatology,564,False,0,3.8,False,False,
Dhanubase Health Post,hospital,Nepalgunj,27.9934630939945,83.8022173445131,Private,2,Premium,2,"Pulmonology, Urology, Infectious Disease, Cardiology, Endocrinology, General Surgery",2282,True,375,3.5,False,True,
Yadunath Clinic,clinic,Pokhara,28.2402795485079,83.7420636943791,Private,2,Budget,0,Gastroenterology,520,True,0,2.9,False,True,
Nawadeu Health Post,clinic,Rupandehi,29.629981660318,80.7374716791944,Private,2,Budget,0,"Gastroenterology, Infectious Disease, General Medicine",249,False,0,3.4,False,True,
Sonaul Health Post,clinic,Kathmandu,26.7580203547234,85.7589721374558,Private,2,Standard,1,"Gastroenterology, Dermatology",528,False,0,3.6,True,False,
Rodidewal Health Post,clinic,Banke,29.476329724302,80.3522567598793,Private,2,Standard,1,"General Medicine, Gastroenterology",991,False,0,3.6,False,True,
Jamuwad health post,hospital,Bardiya,27.5305690546569,83.6731261449953,Private,2,Premium,2,"Infectious Disease, Dermatology, Urology, Endocrinology, Orthopedics, Cardiology",1884,True,414,4.4,True,True,
Nepalgunj Eye Hospital,hospital,Lalitpur,28.052194251341,81.6160056890816,Private,2,Premium,2,"Endocrinology, Orthopedics, Dermatology, Urology, Pulmonology, Gastroenterology",2654,True,353,5.0,True,True,
Bastipur Swasta Chauki,clinic,Butwal,26.748233728397,86.4571914611512,Private,2,Budget,0,General Medicine,212,False,0,2.8,False,False,
Latikanda Community Health Unit,clinic,Bhaktapur,28.8430102195938,81.4171912205765,Private,2,Budget,0,"Gastroenterology, General Medicine",503,False,0,3.0,False,False,
Medical Clinic,clinic,Kathmandu,27.7000537352153,85.3218657776028,Private,2,Standard,1,"Gastroenterology, General Medicine, Infectious Disease",1316,True,0,3.4,False,True,
Ujyaalo Samudaayik Polyclinic Pvt. Ltd,clinic,Myagdi,27.0325406756059,87.3131785705967,Private,2,Standard,1,"General Medicine, Infectious Disease",1141,False,0,3.4,False,True,
Allu Sawat Chowki,clinic,Hetauda,27.0265159312428,84.8400268768934,Private,2,Standard,1,Gastroenterology,1457,False,0,3.3,False,False,
Badakholi Basic Health Care Center,hospital,Kathmandu,28.4007469776323,81.8376266455696,Private,2,Premium,2,"General Medicine, Urology, Orthopedics, General Surgery, Pulmonology, Endocrinology",1684,True,413,4.0,True,True,
PHC Launiya,clinic,Pokhara,26.4805599974837,86.7697105533376,Private,2,Standard,1,"Infectious Disease, General Medicine, Gastroenterology",1360,False,0,3.3,False,True,
Budhha Polyclinic,clinic,Gorkha,27.6619417243996,83.0403444231946,Private,2,Standard,1,"Infectious Disease, Dermatology, Gastroenterology",756,False,0,3.0,False,True,
Saijol Health Post,hospital,Nepalgunj,,,Private,2,Standard,1,"Orthopedics, Pulmonology, General Medicine, Neurology",753,True,111,3.3,True,False,
Kushma Health Post-Kushma,hospital,Dang,27.470151877487,83.6862639400294,Private,2,Premium,2,"Neurology, Gastroenterology, General Surgery, Endocrinology, Dermatology, General Medicine",1220,False,400,4.5,True,True,
Raniswara health post,clinic,Rupandehi,27.9822715768772,84.63694886952,Private,2,Budget,0,"Gastroenterology, General Medicine, Infectious Disease",442,False,0,3.1,False,False,
Gajahada health post,hospital,Dolpa,27.6630668272625,83.1711577685385,Private,2,Standard,1,"Infectious Disease, Endocrinology, Pulmonology, Neurology",744,True,164,3.0,True,False,
Bhamchaur Health Post,hospital,Itahari,29.5470955344061,80.9342942722294,Private,2,Standard,1,"Dermatology, Cardiology, General Medicine, Gastroenterology",1481,False,57,4.0,False,False,
माेदि प्याथाेलाेजि क्लिनिक,clinic,Myagdi,28.2720912179843,83.7393449402657,Private,2,Standard,1,General Medicine,848,False,0,3.4,False,True,9844759785
Dhapasi Health Post,doctors,Tanahu,,,Government,0,Budget,0,General Medicine,127,False,0,3.3,False,True,
Gautam Medical Hall,clinic,Chitwan,28.0617735932019,81.6175629628722,Private,2,Budget,0,"Gastroenterology, Infectious Disease, General Medicine",370,False,0,3.4,False,False,081526642
Raj Laxmi Relief Hospital Pvt Ltd,hospital,Dhanusha,27.0286063778943,85.0018004579893,Private,2,Standard,1,"Cardiology, Pulmonology, Neurology, Endocrinology",1032,False,149,3.7,True,False,
आखा अस्पताल,hospital,Hetauda,28.0394594582114,81.6125142911337,Private,2,Standard,1,"Dermatology, General Surgery, Orthopedics, Gastroenterology",1313,True,171,4.1,True,True,
Nepal  Heart Care Center,doctors,Syangja,,,Private,2,Budget,0,General Medicine,321,True,0,2.7,False,False,
राप्ती आँखा अस्पताल,hospital,Hetauda,28.1646187907696,82.316237843005,Private,2,Premium,2,"General Surgery, Cardiology, Gastroenterology, General Medicine, Endocrinology, Orthopedics",2932,True,111,4.8,True,True,
Basic Health Care Center Ward 4,clinic,Tanahu,26.7252198721296,85.9278219726679,Private,2,Budget,0,"Dermatology, Infectious Disease, Gastroenterology",237,False,0,3.3,False,False,
Health Post Kurtha,clinic,Sarlahi,26.7578008326792,85.895639152519,Private,2,Budget,0,"Infectious Disease, General Medicine",597,False,0,2.5,True,True,
Shitalpur Health Care Center,clinic,Nepalgunj,26.9547584581744,85.1968220314894,Private,2,Standard,1,"Infectious Disease, General Medicine, Dermatology",1114,False,0,3.6,False,False,
Sanvi Pharm,clinic,Pokhara,27.5162312225454,83.4524886372066,Private,2,Budget,0,"Infectious Disease, Gastroenterology",517,False,0,2.7,False,True,
RAPTI EYE HOSPITAL,hospital,Pokhara,,,Private,2,Premium,2,"Pulmonology, Dermatology, Endocrinology, Infectious Disease, Orthopedics, General Medicine",1898,True,281,5.0,True,True,
दिव्या संजीवनी अस्पताल,hospital,Kathmandu,27.7066148375625,85.2867622832931,Private,2,Premium,2,"Pulmonology, Urology, General Medicine, Neurology, Dermatology, Infectious Disease",2564,True,279,3.6,True,True,
Vivanta Zahnklinik,clinic,Kathmandu,27.7092352719516,85.3301506183376,Private,2,Standard,1,Infectious Disease,597,False,0,3.2,False,True,
"TB Nepal, Nepalgunj Tuberculosis Referal Center",hospital,Morang,28.0610350637133,81.6321362426439,Government,0,Standard,1,"Gastroenterology, Dermatology, Endocrinology, Orthopedics",328,True,72,3.4,True,True,81524267
PHC Tilathi,clinic,Banke,26.4709025362853,86.7672244808563,Private,2,Standard,1,Gastroenterology,1092,True,0,3.1,False,True,
Ramechhap District Hospital,hospital,Hetauda,27.3157800198075,86.0870839164779,Private,2,Standard,1,"Cardiology, General Surgery, Dermatology, Urology",627,False,103,3.9,True,False,
Health Post Ward 7,clinic,Kaski,26.7950931771837,86.1782504407159,Private,2,Standard,1,Gastroenterology,587,False,0,3.1,True,False,
"स्वास्थ्य चाैकि गैरिगाउँ, राेल्पा",clinic,Biratnagar,28.3236047185081,82.5041974954433,Private,2,Budget,0,"Gastroenterology, Infectious Disease",231,False,0,2.5,False,False,
Summit Hospital,hospital,Kathmandu,,,Private,2,Premium,2,"General Medicine, Orthopedics, Dermatology, Gastroenterology, Urology, Neurology",2877,False,129,5.0,True,True,
खिदिम स्वास्थ चौकी,hospital,Biratnagar,27.9144999502249,83.2908899864299,Private,2,Premium,2,"Infectious Disease, Urology, Neurology, General Surgery, Endocrinology, General Medicine",1068,True,242,4.5,True,True,
Kayakalpa Diet Clinic,clinic,Pokhara,28.221463768445,83.9881068345057,Private,2,Budget,0,"General Medicine, Dermatology",393,True,0,2.7,False,False,
Surajpura Aayurbedic Ausadhalaya,clinic,Biratnagar,27.6223806501631,83.3158823909414,Private,2,Standard,1,Infectious Disease,820,False,0,3.3,False,False,
Chandrawati Medical,hospital,Birgunj,28.070518851878,84.3713273637797,Private,2,Premium,2,"Urology, General Medicine, Endocrinology, Infectious Disease, Pulmonology, Gastroenterology",2822,True,303,4.2,True,True,
Harine Health Service Center,clinic,Hetauda,26.7312523278436,86.1442520165206,Private,2,Budget,0,"Dermatology, Gastroenterology",555,False,0,3.4,False,True,
गाउँघर क्लिनिक,clinic,Lalitpur,28.3601130197897,82.6205825679405,Private,2,Standard,1,Gastroenterology,566,True,0,3.8,True,True,
साई पोलिक्लिनिक,doctors,Kathmandu,27.6889045467091,85.3314271821909,Private,2,Budget,0,General Medicine,600,False,0,3.3,False,True,
Nijon Skin Hospital,hospital,Pokhara,26.6604094880494,87.6923129220737,Private,2,Premium,2,"Urology, General Surgery, Endocrinology, Cardiology, Infectious Disease, Orthopedics",1261,True,223,3.6,True,False,
Ganeshpur Swsthy Chauki Vijaynagar-07 Ganeshpur,clinic,Makwanpur,27.5685004354593,82.7833938286493,Private,2,Budget,0,"Dermatology, Gastroenterology",231,False,0,3.3,False,False,
"Health Post, Harpur",clinic,Makwanpur,27.0837134517656,84.9692992931579,Private,2,Budget,0,"Infectious Disease, Dermatology",426,False,0,2.7,False,False,
